Date,Branch,Product,Category,Quantity,Unit_Price,Total_Sales,Salesperson
2025-06-28,Cairo,Cheese,Food,6,59.05,354.29999999999995,Michael
2025-06-01,Alexandria,Cheese,Food,8,32.54,260.32,James
2025-04-02,Alexandria,Shampoo,Detergents,5,86.23,431.15000000000003,Angela
2025-02-26,Cairo,Rice,Food,7,104.78,733.46,Sheila
2025-02-03,Tanta,Coffee,Beverages,4,45.66,182.64,Erik
2025-04-13,Cairo,Soda,Beverages,6,19.71,118.26,Erin
2025-03-30,Cairo,Shampoo,Detergents,2,53.79,107.58,Amanda
2025-02-11,Tanta,Shampoo,Detergents,8,41.19,329.52,Victor
2025-01-29,Alexandria,Knives,Household,1,98.87,98.87,Noah
2025-05-16,Tanta,Towels,Household,4,52.75,211.0,Jennifer
2025-01-20,Alexandria,Water,Beverages,7,47.78,334.46000000000004,Christina
2025-03-09,Tanta,Shampoo,Detergents,2,43.88,87.76,Katie
2025-04-06,Mansoura,Soda,Beverages,1,45.05,45.05,John
2024-12-29,Alexandria,Plates,Household,7,18.57,129.99,Mark
2025-01-04,Alexandria,Beef,Food,3,70.3,210.89999999999998,Angela
2025-02-27,Tanta,Rice,Food,6,105.75,634.5,Jose
2025-06-21,Tanta,Bleach,Detergents,6,43.17,259.02,Darius
2025-03-04,Alexandria,Cups,Household,4,86.07,344.28,John
2025-06-08,Cairo,Cheese,Food,3,40.99,122.97,Cathy
2025-04-12,Mansoura,Soda,Beverages,2,114.97,229.94,Katie
2025-04-30,Mansoura,Water,Beverages,7,147.09,1029.63,Jeffrey
2025-06-05,Mansoura,Bleach,Detergents,6,106.47,638.8199999999999,Jeffrey
2025-02-06,Alexandria,Water,Beverages,2,14.47,28.94,Kimberly
2025-01-19,Cairo,Cups,Household,4,53.95,215.8,Richard
2025-03-12,Alexandria,Cheese,Food,5,48.66,243.29999999999998,Mitchell
2025-02-05,Mansoura,Bleach,Detergents,5,32.59,162.95000000000002,Amanda
2025-06-02,Cairo,Shampoo,Detergents,4,147.64,590.56,Danielle
2025-05-27,Mansoura,Cheese,Food,3,13.19,39.57,Richard
2025-04-24,Alexandria,Cups,Household,7,22.85,159.95000000000002,David
2025-03-31,Alexandria,Pasta,Food,2,38.05,76.1,Matthew
2025-06-11,Alexandria,Chicken,Food,6,118.04,708.24,Sarah
2025-05-30,Mansoura,Soap,Detergents,2,106.45,212.9,William
2025-05-02,Alexandria,Bleach,Detergents,9,132.71,1194.39,Randy
2025-06-19,Mansoura,Towels,Household,4,137.52,550.08,Roger
2025-05-16,Alexandria,Towels,Household,8,22.22,177.76,Daniel
2025-05-24,Mansoura,Cups,Household,4,57.18,228.72,Rachel
2025-03-30,Tanta,Tea,Beverages,7,35.78,250.46,Nicholas
2025-03-02,Mansoura,Knives,Household,7,124.05,868.35,Christina
2025-05-07,Cairo,Shampoo,Detergents,7,124.17,869.19,Amy
2025-03-08,Cairo,Shampoo,Detergents,8,59.05,472.4,Kimberly
2025-03-29,Cairo,Coffee,Beverages,8,52.62,420.96,Joseph
2025-01-18,Cairo,Plates,Household,4,16.42,65.68,Elizabeth
2025-01-04,Mansoura,Tissue,Detergents,3,80.52,241.56,Jerry
2025-05-13,Cairo,Beef,Food,9,139.27,1253.43,Shawn
2025-06-28,Tanta,Soap,Detergents,3,121.16,363.48,Robert
2025-01-26,Mansoura,Tissue,Detergents,9,48.94,440.46,Gabriel
2025-05-31,Mansoura,Soap,Detergents,3,39.98,119.94,Mark
2025-06-25,Cairo,Pasta,Food,3,130.44,391.32,Logan
2025-05-21,Tanta,Towels,Household,9,127.01,1143.0900000000001,Mark
2025-04-25,Cairo,Cheese,Food,3,90.64,271.92,Denise
2025-03-03,Tanta,Beef,Food,9,35.0,315.0,Eric
2025-01-12,Tanta,Cheese,Food,2,95.76,191.52,Bianca
2025-01-05,Mansoura,Tea,Beverages,4,139.64,558.56,Andrew
2025-06-22,Tanta,Soap,Detergents,8,78.33,626.64,Robert
2025-04-16,Cairo,Bleach,Detergents,1,89.84,89.84,Frances
2025-01-10,Alexandria,Pasta,Food,8,128.68,1029.44,Kevin
2025-05-21,Cairo,Shampoo,Detergents,8,23.09,184.72,Renee
2025-04-10,Alexandria,Soda,Beverages,8,32.91,263.28,Melvin
2025-02-28,Cairo,Cheese,Food,5,32.34,161.70000000000002,Robert
2025-05-14,Tanta,Rice,Food,1,86.7,86.7,Suzanne
2025-01-06,Cairo,Plates,Household,3,31.12,93.36,Reginald
2025-06-12,Alexandria,Towels,Household,3,77.67,233.01,Carrie
2025-06-06,Cairo,Towels,Household,6,59.06,354.36,Robert
2025-02-09,Mansoura,Bleach,Detergents,9,16.87,151.83,Diane
2025-06-05,Mansoura,Juice,Beverages,1,71.19,71.19,Brenda
2025-06-28,Cairo,Soap,Detergents,5,47.81,239.05,Robert
2025-05-09,Mansoura,Coffee,Beverages,6,62.33,373.98,Lisa
2025-02-15,Alexandria,Pasta,Food,8,80.79,646.32,Michael
2025-01-01,Alexandria,Pasta,Food,5,30.09,150.45,Alyssa
2025-01-27,Alexandria,Cheese,Food,9,141.2,1270.8,Lisa
2025-04-06,Mansoura,Tissue,Detergents,2,70.63,141.26,Mackenzie
2025-01-06,Alexandria,Coffee,Beverages,1,75.77,75.77,Jenna
2025-05-07,Alexandria,Knives,Household,8,88.24,705.92,Savannah
2025-02-11,Mansoura,Pasta,Food,3,140.54,421.62,Abigail
2025-06-16,Tanta,Cheese,Food,5,83.91,419.54999999999995,Justin
2025-04-06,Mansoura,Tissue,Detergents,6,30.86,185.16,Jason
2025-03-18,Mansoura,Water,Beverages,2,52.48,104.96,Melanie
2025-05-17,Tanta,Plates,Household,5,81.68,408.40000000000003,Alyssa
2025-01-17,Tanta,Rice,Food,1,74.55,74.55,Martha
2025-03-21,Mansoura,Water,Beverages,7,89.06,623.4200000000001,Johnathan
2025-03-22,Cairo,Plates,Household,1,23.31,23.31,Yvonne
2025-03-07,Tanta,Soda,Beverages,5,129.65,648.25,Scott
2025-02-11,Mansoura,Knives,Household,3,94.07,282.21,Alan
2025-05-09,Cairo,Plates,Household,3,78.55,235.64999999999998,Nicole
